,country,food_category,consumption,co2_emmission
623,Colombia,Wheat and Wheat Products,29.790,5.680
624,Colombia,Rice,28.020,35.860
625,Colombia,Soybeans,0.890,0.400
626,Colombia,Nuts inc. Peanut Butter,0.420,0.740
627,Maldives,Pork,1.220,4.320
628,Maldives,Poultry,18.470,19.840
629,Maldives,Beef,9.440,291.300
630,Maldives,Lamb & Goat,0.700,24.510
631,Maldives,Fish,179.710,286.940
632,Maldives,Eggs,10.790,9.910
633,Maldives,Milk - inc. cheese,111.470,158.780
634,Maldives,Wheat and Wheat Products,77.770,14.830
635,Maldives,Rice,50.730,64.920
636,Maldives,Soybeans,0.200,0.090
637,Maldives,Nuts inc. Peanut Butter,15.830,28.020
638,Cyprus,Pork,38.380,135.850
639,Cyprus,Poultry,24.450,26.260
640,Cyprus,Beef,5.790,178.670
641,Cyprus,Lamb & Goat,5.050,176.850
642,Cyprus,Fish,14.860,23.730
643,Cyprus,Eggs,8.980,8.250
644,Cyprus,Milk - inc. cheese,113.310,161.400
645,Cyprus,Wheat and Wheat Products,83.250,15.880
646,Cyprus,Rice,4.940,6.320
647,Cyprus,Soybeans,0.040,0.020
648,Cyprus,Nuts inc. Peanut Butter,4.600,8.140
649,Serbia,Pork,32.040,113.410
650,Serbia,Poultry,10.640,11.430
651,Serbia,Beef,7.050,217.550
652,Serbia,Lamb & Goat,3.560,124.670
653,Serbia,Fish,5.590,8.930
654,Serbia,Eggs,8.890,8.170
655,Serbia,Milk - inc. cheese,148.530,211.570
656,Serbia,Wheat and Wheat Products,105.880,20.190
657,Serbia,Rice,1.220,1.560
658,Serbia,Soybeans,0.000,0.000
659,Serbia,Nuts inc. Peanut Butter,3.310,5.860
660,United Arab Emirates,Pork,0.000,0.000
661,United Arab Emirates,Poultry,41.040,44.090
662,United Arab Emirates,Beef,5.640,174.040
663,United Arab Emirates,Lamb & Goat,9.080,317.980
664,United Arab Emirates,Fish,20.410,32.590
665,United Arab Emirates,Eggs,8.230,7.560
666,United Arab Emirates,Milk - inc. cheese,132.660,188.960
667,United Arab Emirates,Wheat and Wheat Products,101.290,19.320
668,United Arab Emirates,Rice,56.250,71.980
669,United Arab Emirates,Soybeans,0.080,0.040
670,United Arab Emirates,Nuts inc. Peanut Butter,23.030,40.760
671,Algeria,Pork,0.000,0.000
672,Algeria,Poultry,7.420,7.970
673,Algeria,Beef,5.600,172.800
674,Algeria,Lamb & Goat,7.690,269.300
675,Algeria,Fish,3.740,5.970
676,Algeria,Eggs,8.060,7.400
677,Algeria,Milk - inc. cheese,141.530,201.600
678,Algeria,Wheat and Wheat Products,185.420,35.360
679,Algeria,Rice,2.970,3.800
680,Algeria,Soybeans,0.000,0.000
681,Algeria,Nuts inc. Peanut Butter,2.080,3.680
682,Ukraine,Pork,20.560,72.770
683,Ukraine,Poultry,24.230,26.030
684,Ukraine,Beef,8.960,276.490
685,Ukraine,Lamb & Goat,0.410,14.360
686,Ukraine,Fish,15.230,24.320
687,Ukraine,Eggs,18.010,16.540
688,Ukraine,Milk - inc. cheese,145.030,206.580
689,Ukraine,Wheat and Wheat Products,105.150,20.050
690,Ukraine,Rice,3.000,3.840
691,Ukraine,Soybeans,0.020,0.010
692,Ukraine,Nuts inc. Peanut Butter,2.680,4.740
693,Pakistan,Pork,0.000,0.000
694,Pakistan,Poultry,5.010,5.380
695,Pakistan,Beef,8.820,272.170
696,Pakistan,Lamb & Goat,2.460,86.150
697,Pakistan,Fish,1.870,2.990
698,Pakistan,Eggs,2.950,2.710
699,Pakistan,Milk - inc. cheese,183.130,260.850
700,Pakistan,Wheat and Wheat Products,113.630,21.670
701,Pakistan,Rice,12.250,15.680
702,Pakistan,Soybeans,0.000,0.000
703,Pakistan,Nuts inc. Peanut Butter,0.830,1.470
704,Swaziland,Pork,2.430,8.600
705,Swaziland,Poultry,6.180,6.640
706,Swaziland,Beef,15.100,465.950
707,Swaziland,Lamb & Goat,1.940,67.940
708,Swaziland,Fish,1.260,2.010
709,Swaziland,Eggs,1.500,1.380
710,Swaziland,Milk - inc. cheese,56.600,80.620
711,Swaziland,Wheat and Wheat Products,37.150,7.080
712,Swaziland,Rice,21.150,27.070
713,Swaziland,Soybeans,0.550,0.250
714,Swaziland,Nuts inc. Peanut Butter,6.440,11.400
715,Latvia,Pork,34.960,123.740
716,Latvia,Poultry,20.530,22.050
717,Latvia,Beef,5.110,157.680
718,Latvia,Lamb & Goat,0.340,11.910
719,Latvia,Fish,21.300,34.010
720,Latvia,Eggs,14.030,12.890
721,Latvia,Milk - inc. cheese,174.110,248.000
722,Latvia,Wheat and Wheat Products,72.130,13.760
723,Latvia,Rice,2.210,2.830
724,Latvia,Soybeans,0.040,0.020
725,Latvia,Nuts inc. Peanut Butter,3.780,6.690
726,Bosnia and Herzegovina,Pork,9.380,33.200
727,Bosnia and Herzegovina,Poultry,13.170,14.150
728,Bosnia and Herzegovina,Beef,9.120,281.420
729,Bosnia and Herzegovina,Lamb & Goat,0.470,16.460
730,Bosnia and Herzegovina,Fish,4.060,6.480
731,Bosnia and Herzegovina,Eggs,4.490,4.120
732,Bosnia and Herzegovina,Milk - inc. cheese,174.030,247.890
733,Bosnia and Herzegovina,Wheat and Wheat Products,93.560,17.840
734,Bosnia and Herzegovina,Rice,1.880,2.410
735,Bosnia and Herzegovina,Soybeans,1.480,0.670
736,Bosnia and Herzegovina,Nuts inc. Peanut Butter,2.000,3.540
737,Fiji,Pork,4.310,15.260
738,Fiji,Poultry,20.260,21.760
739,Fiji,Beef,8.960,276.490
740,Fiji,Lamb & Goat,5.900,206.620
741,Fiji,Fish,35.010,55.900
742,Fiji,Eggs,6.440,5.920
743,Fiji,Milk - inc. cheese,40.200,57.260
744,Fiji,Wheat and Wheat Products,84.220,16.060
745,Fiji,Rice,45.620,58.380
746,Fiji,Soybeans,0.300,0.140
747,Fiji,Nuts inc. Peanut Butter,1.300,2.300
748,South Korea,Pork,32.760,115.950
749,South Korea,Poultry,16.000,17.190
750,South Korea,Beef,14.530,448.370
751,South Korea,Lamb & Goat,0.140,4.900
752,South Korea,Fish,33.090,52.830
753,South Korea,Eggs,11.240,10.330
754,South Korea,Milk - inc. cheese,29.050,41.380
755,South Korea,Wheat and Wheat Products,50.840,9.700
756,South Korea,Rice,85.180,109.000
757,South Korea,Soybeans,8.350,3.760
758,South Korea,Nuts inc. Peanut Butter,4.880,8.640
759,Poland,Pork,46.190,163.490
760,Poland,Poultry,27.410,29.440
761,Poland,Beef,2.320,71.590
762,Poland,Lamb & Goat,0.020,0.700
763,Poland,Fish,10.490,16.750
764,Poland,Eggs,7.530,6.920
765,Poland,Milk - inc. cheese,205.390,292.560
766,Poland,Wheat and Wheat Products,108.830,20.750
767,Poland,Rice,0.950,1.220
768,Poland,Soybeans,0.060,0.030
769,Poland,Nuts inc. Peanut Butter,2.230,3.950
770,Saudi Arabia,Pork,0.000,0.000
771,Saudi Arabia,Poultry,49.050,52.690
772,Saudi Arabia,Beef,6.450,199.030
773,Saudi Arabia,Lamb & Goat,6.540,229.030
774,Saudi Arabia,Fish,11.990,19.140
775,Saudi Arabia,Eggs,5.370,4.930
776,Saudi Arabia,Milk - inc. cheese,83.650,119.150
777,Saudi Arabia,Wheat and Wheat Products,89.470,17.060
778,Saudi Arabia,Rice,36.020,46.090
779,Saudi Arabia,Soybeans,0.050,0.020
780,Saudi Arabia,Nuts inc. Peanut Butter,3.230,5.720
781,Botswana,Pork,0.740,2.620
782,Botswana,Poultry,5.330,5.730
783,Botswana,Beef,7.850,242.230
784,Botswana,Lamb & Goat,3.760,131.670
785,Botswana,Fish,3.980,6.350
786,Botswana,Eggs,1.950,1.790
787,Botswana,Milk - inc. cheese,117.740,167.710
788,Botswana,Wheat and Wheat Products,38.200,7.280
789,Botswana,Rice,7.060,9.030
790,Botswana,Soybeans,1.160,0.520
791,Botswana,Nuts inc. Peanut Butter,1.080,1.910
792,Macedonia,Pork,10.350,36.630
793,Macedonia,Poultry,18.770,20.160
794,Macedonia,Beef,7.690,237.300
795,Macedonia,Lamb & Goat,0.940,32.920
796,Macedonia,Fish,5.470,8.730
797,Macedonia,Eggs,6.380,5.860
798,Macedonia,Milk - inc. cheese,157.930,224.960
799,Macedonia,Wheat and Wheat Products,104.800,19.990
800,Macedonia,Rice,2.810,3.600
801,Macedonia,Soybeans,0.460,0.210
802,Macedonia,Nuts inc. Peanut Butter,5.870,10.390
803,Hungary,Pork,34.930,123.630
804,Hungary,Poultry,23.780,25.540
805,Hungary,Beef,4.960,153.060
806,Hungary,Lamb & Goat,0.110,3.850
807,Hungary,Fish,4.930,7.870
808,Hungary,Eggs,12.450,11.440
809,Hungary,Milk - inc. cheese,159.050,226.550
810,Hungary,Wheat and Wheat Products,109.980,20.970
811,Hungary,Rice,2.150,2.750
812,Hungary,Soybeans,0.010,0.000
813,Hungary,Nuts inc. Peanut Butter,0.640,1.130
814,Trinidad and Tobago,Pork,8.920,31.570
815,Trinidad and Tobago,Poultry,58.270,62.590
816,Trinidad and Tobago,Beef,6.130,189.160
817,Trinidad and Tobago,Lamb & Goat,2.790,97.710
818,Trinidad and Tobago,Fish,20.540,32.800
819,Trinidad and Tobago,Eggs,4.200,3.860
820,Trinidad and Tobago,Milk - inc. cheese,103.800,147.850
821,Trinidad and Tobago,Wheat and Wheat Products,90.170,17.200
822,Trinidad and Tobago,Rice,16.380,20.960
823,Trinidad and Tobago,Soybeans,0.040,0.020
824,Trinidad and Tobago,Nuts inc. Peanut Butter,3.780,6.690
825,Tunisia,Pork,0.000,0.000
826,Tunisia,Poultry,18.500,19.870
827,Tunisia,Beef,5.530,170.640
828,Tunisia,Lamb & Goat,5.340,187.010
829,Tunisia,Fish,12.630,20.170
830,Tunisia,Eggs,7.670,7.050
831,Tunisia,Milk - inc. cheese,114.470,163.050
832,Tunisia,Wheat and Wheat Products,197.500,37.660
833,Tunisia,Rice,1.070,1.370
834,Tunisia,Soybeans,1.880,0.850
835,Tunisia,Nuts inc. Peanut Butter,6.340,11.220
836,Egypt,Pork,0.020,0.070
837,Egypt,Poultry,14.430,15.500
838,Egypt,Beef,12.880,397.450
839,Egypt,Lamb & Goat,1.580,55.330
840,Egypt,Fish,21.460,34.260
841,Egypt,Eggs,4.590,4.220
842,Egypt,Milk - inc. cheese,59.460,84.690
843,Egypt,Wheat and Wheat Products,146.830,28.000
844,Egypt,Rice,39.770,50.890
845,Egypt,Soybeans,0.640,0.290
846,Egypt,Nuts inc. Peanut Butter,1.820,3.220
847,Mauritius,Pork,4.080,14.440
848,Mauritius,Poultry,38.510,41.370
849,Mauritius,Beef,5.990,184.840
850,Mauritius,Lamb & Goat,4.080,142.880
851,Mauritius,Fish,19.660,31.390
852,Mauritius,Eggs,6.320,5.810
853,Mauritius,Milk - inc. cheese,117.270,167.040
854,Mauritius,Wheat and Wheat Products,114.020,21.740
855,Mauritius,Rice,45.560,58.300
856,Mauritius,Soybeans,0.300,0.140
857,Mauritius,Nuts inc. Peanut Butter,2.330,4.120
858,Bulgaria,Pork,26.260,92.950
859,Bulgaria,Poultry,20.680,22.210
860,Bulgaria,Beef,3.840,118.490
861,Bulgaria,Lamb & Goat,1.630,57.080
862,Bulgaria,Fish,6.240,9.960
863,Bulgaria,Eggs,8.360,7.680
864,Bulgaria,Milk - inc. cheese,155.710,221.790
865,Bulgaria,Wheat and Wheat Products,121.170,23.110
866,Bulgaria,Rice,2.240,2.870
867,Bulgaria,Soybeans,0.040,0.020
868,Bulgaria,Nuts inc. Peanut Butter,2.260,4.000
869,Morocco,Pork,0.010,0.040
870,Morocco,Poultry,20.770,22.310
871,Morocco,Beef,8.040,248.100
872,Morocco,Lamb & Goat,4.360,152.690
873,Morocco,Fish,17.440,27.850
874,Morocco,Eggs,6.680,6.140
875,Morocco,Milk - inc. cheese,54.680,77.890
876,Morocco,Wheat and Wheat Products,179.700,34.270
877,Morocco,Rice,1.100,1.410
878,Morocco,Soybeans,0.000,0.000
879,Morocco,Nuts inc. Peanut Butter,3.230,5.720
880,Slovakia,Pork,31.780,112.490
881,Slovakia,Poultry,15.130,16.250
882,Slovakia,Beef,5.190,160.150
883,Slovakia,Lamb & Goat,0.160,5.600
884,Slovakia,Fish,8.390,13.400
885,Slovakia,Eggs,16.050,14.740
886,Slovakia,Milk - inc. cheese,143.140,203.890
887,Slovakia,Wheat and Wheat Products,123.620,23.570
888,Slovakia,Rice,2.880,3.690
889,Slovakia,Soybeans,0.020,0.010
890,Slovakia,Nuts inc. Peanut Butter,3.700,6.550
891,Niger,Pork,0.090,0.320
892,Niger,Poultry,1.080,1.160
893,Niger,Beef,8.970,276.800
894,Niger,Lamb & Goat,4.170,146.030
895,Niger,Fish,2.700,4.310
896,Niger,Eggs,0.300,0.280
897,Niger,Milk - inc. cheese,58.920,83.930
898,Niger,Wheat and Wheat Products,4.790,0.910
899,Niger,Rice,13.170,16.850
900,Niger,Soybeans,0.000,0.000
901,Niger,Nuts inc. Peanut Butter,6.950,12.300
902,Kenya,Pork,0.290,1.030
903,Kenya,Poultry,0.470,0.500
904,Kenya,Beef,9.540,294.380
905,Kenya,Lamb & Goat,1.860,65.140
906,Kenya,Fish,4.270,6.820
907,Kenya,Eggs,1.840,1.690
908,Kenya,Milk - inc. cheese,94.860,135.120
909,Kenya,Wheat and Wheat Products,34.650,6.610
910,Kenya,Rice,12.940,16.560
911,Kenya,Soybeans,0.200,0.090
912,Kenya,Nuts inc. Peanut Butter,1.640,2.900
913,Jordan,Pork,0.020,0.070
914,Jordan,Poultry,33.390,35.870
915,Jordan,Beef,5.610,173.110
916,Jordan,Lamb & Goat,5.680,198.910
917,Jordan,Fish,5.130,8.190
918,Jordan,Eggs,3.920,3.600
919,Jordan,Milk - inc. cheese,77.680,110.650
920,Jordan,Wheat and Wheat Products,136.740,26.080
921,Jordan,Rice,19.670,25.170
922,Jordan,Soybeans,0.020,0.010
923,Jordan,Nuts inc. Peanut Butter,3.560,6.300
924,Japan,Pork,20.620,72.980
925,Japan,Poultry,19.420,20.860
926,Japan,Beef,9.150,282.350
927,Japan,Lamb & Goat,0.140,4.900
928,Japan,Fish,31.100,49.660
929,Japan,Eggs,19.150,17.590
930,Japan,Milk - inc. cheese,72.060,102.640
931,Japan,Wheat and Wheat Products,45.040,8.590
932,Japan,Rice,59.850,76.590
933,Japan,Soybeans,7.340,3.300
934,Japan,Nuts inc. Peanut Butter,2.590,4.580
935,Georgia,Pork,8.930,31.610
936,Georgia,Poultry,12.280,13.190
937,Georgia,Beef,6.040,186.380
938,Georgia,Lamb & Goat,0.630,22.060
939,Georgia,Fish,10.420,16.640
940,Georgia,Eggs,6.120,5.620
941,Georgia,Milk - inc. cheese,149.260,212.610
942,Georgia,Wheat and Wheat Products,163.430,31.170
943,Georgia,Rice,2.640,3.380
944,Georgia,Soybeans,0.000,0.000
945,Georgia,Nuts inc. Peanut Butter,2.470,4.370
946,Grenada,Pork,11.520,40.780
947,Grenada,Poultry,43.510,46.740
948,Grenada,Beef,3.460,106.770
949,Grenada,Lamb & Goat,1.250,43.770
950,Grenada,Fish,27.950,44.630
951,Grenada,Eggs,10.340,9.500
952,Grenada,Milk - inc. cheese,86.880,123.750
953,Grenada,Wheat and Wheat Products,59.590,11.360
954,Grenada,Rice,9.560,12.230
955,Grenada,Soybeans,0.010,0.000
956,Grenada,Nuts inc. Peanut Butter,0.180,0.320
957,El Salvador,Pork,3.230,11.430
958,El Salvador,Poultry,19.840,21.310
959,El Salvador,Beef,5.950,183.600
960,El Salvador,Lamb & Goat,0.020,0.700
961,El Salvador,Fish,6.250,9.980
962,El Salvador,Eggs,9.510,8.740
963,El Salvador,Milk - inc. cheese,124.340,177.110
964,El Salvador,Wheat and Wheat Products,28.190,5.380
965,El Salvador,Rice,10.530,13.480
966,El Salvador,Soybeans,0.800,0.360
967,El Salvador,Nuts inc. Peanut Butter,1.100,1.950
968,Cuba,Pork,19.820,70.150
969,Cuba,Poultry,20.150,21.650
970,Cuba,Beef,6.390,197.180
971,Cuba,Lamb & Goat,1.240,43.420
972,Cuba,Fish,4.760,7.600
973,Cuba,Eggs,9.820,9.020
974,Cuba,Milk - inc. cheese,99.940,142.350
975,Cuba,Wheat and Wheat Products,54.620,10.420
976,Cuba,Rice,67.700,86.640
977,Cuba,Soybeans,6.340,2.850
978,Cuba,Nuts inc. Peanut Butter,0.230,0.410
979,China,Pork,38.430,136.020
980,China,Poultry,13.200,14.180
981,China,Beef,5.120,157.990
982,China,Lamb & Goat,3.130,109.610
983,China,Fish,21.010,33.550
984,China,Eggs,18.760,17.230
985,China,Milk - inc. cheese,32.660,46.520
986,China,Wheat and Wheat Products,63.360,12.080
987,China,Rice,78.180,100.050
988,China,Soybeans,3.660,1.650
989,China,Nuts inc. Peanut Butter,6.390,11.310
990,Honduras,Pork,6.480,22.940
991,Honduras,Poultry,20.290,21.800
992,Honduras,Beef,7.190,221.870
993,Honduras,Lamb & Goat,0.040,1.400
994,Honduras,Fish,2.700,4.310
995,Honduras,Eggs,5.190,4.770
996,Honduras,Milk - inc. cheese,91.330,130.090
997,Honduras,Wheat and Wheat Products,37.360,7.120
998,Honduras,Rice,14.420,18.450
999,Honduras,Soybeans,0.010,0.000
1000,Honduras,Nuts inc. Peanut Butter,0.750,1.330
1001,Taiwan. ROC,Pork,39.370,139.350
1002,Taiwan. ROC,Poultry,32.130,34.510
1003,Taiwan. ROC,Beef,5.210,160.770
1004,Taiwan. ROC,Lamb & Goat,0.920,32.220
1005,Taiwan. ROC,Fish,18.290,29.200
1006,Taiwan. ROC,Eggs,13.080,12.020
1007,Taiwan. ROC,Milk - inc. cheese,41.720,59.430
1008,Taiwan. ROC,Wheat and Wheat Products,50.920,9.710
1009,Taiwan. ROC,Rice,45.850,58.670
1010,Taiwan. ROC,Soybeans,16.950,7.630
1011,Taiwan. ROC,Nuts inc. Peanut Butter,9.060,16.040
1012,Angola,Pork,8.890,31.470
1013,Angola,Poultry,17.330,18.620
1014,Angola,Beef,8.420,259.820
1015,Angola,Lamb & Goat,1.080,37.820
1016,Angola,Fish,15.240,24.330
1017,Angola,Eggs,1.110,1.020
1018,Angola,Milk - inc. cheese,12.300,17.520
1019,Angola,Wheat and Wheat Products,40.720,7.770
1020,Angola,Rice,8.120,10.390
1021,Angola,Soybeans,0.520,0.230
1022,Angola,Nuts inc. Peanut Butter,2.260,4.000
1023,Jamaica,Pork,3.990,14.120
1024,Jamaica,Poultry,52.510,56.410
1025,Jamaica,Beef,3.970,122.510
1026,Jamaica,Lamb & Goat,1.260,44.130
1027,Jamaica,Fish,21.950,35.050
1028,Jamaica,Eggs,2.270,2.090
1029,Jamaica,Milk - inc. cheese,91.130,129.810
1030,Jamaica,Wheat and Wheat Products,70.670,13.480
1031,Jamaica,Rice,23.450,30.010
1032,Jamaica,Soybeans,0.000,0.000
1033,Jamaica,Nuts inc. Peanut Butter,1.820,3.220
1034,Namibia,Pork,4.210,14.900
1035,Namibia,Poultry,12.190,13.090
1036,Namibia,Beef,3.750,115.720
1037,Namibia,Lamb & Goat,2.270,79.500
1038,Namibia,Fish,10.700,17.080
1039,Namibia,Eggs,1.630,1.500
1040,Namibia,Milk - inc. cheese,73.050,104.050
1041,Namibia,Wheat and Wheat Products,36.260,6.910
1042,Namibia,Rice,6.310,8.070
1043,Namibia,Soybeans,0.070,0.030
1044,Namibia,Nuts inc. Peanut Butter,0.710,1.260
1045,Belize,Pork,16.800,59.460
1046,Belize,Poultry,28.310,30.410
1047,Belize,Beef,4.860,149.970
1048,Belize,Lamb & Goat,0.140,4.900
1049,Belize,Fish,7.570,12.090
1050,Belize,Eggs,4.850,4.460
1051,Belize,Milk - inc. cheese,80.300,114.380
1052,Belize,Wheat and Wheat Products,54.060,10.310
1053,Belize,Rice,28.420,36.370
1054,Belize,Soybeans,1.880,0.850
1055,Belize,Nuts inc. Peanut Butter,5.580,9.880
1056,Malaysia,Pork,7.760,27.470
1057,Malaysia,Poultry,41.010,44.050
1058,Malaysia,Beef,6.520,201.190
1059,Malaysia,Lamb & Goat,0.940,32.920
1060,Malaysia,Fish,49.430,78.920
1061,Malaysia,Eggs,16.570,15.220
1062,Malaysia,Milk - inc. cheese,25.280,36.010
1063,Malaysia,Wheat and Wheat Products,51.040,9.730
1064,Malaysia,Rice,81.250,103.980
1065,Malaysia,Soybeans,0.040,0.020
1066,Malaysia,Nuts inc. Peanut Butter,2.900,5.130
1067,Zimbabwe,Pork,2.650,9.380
1068,Zimbabwe,Poultry,4.970,5.340
1069,Zimbabwe,Beef,7.370,227.420
1070,Zimbabwe,Lamb & Goat,0.960,33.620
1071,Zimbabwe,Fish,2.800,4.470
1072,Zimbabwe,Eggs,1.750,1.610
1073,Zimbabwe,Milk - inc. cheese,31.900,45.440
1074,Zimbabwe,Wheat and Wheat Products,31.310,5.970
1075,Zimbabwe,Rice,10.090,12.910
1076,Zimbabwe,Soybeans,0.540,0.240
1077,Zimbabwe,Nuts inc. Peanut Butter,2.220,3.930
1078,Guatemala,Pork,4.850,17.170
1079,Guatemala,Poultry,16.450,17.670
1080,Guatemala,Beef,5.600,172.800
1081,Guatemala,Lamb & Goat,0.230,8.050
1082,Guatemala,Fish,1.080,1.720
1083,Guatemala,Eggs,14.610,13.420
1084,Guatemala,Milk - inc. cheese,46.600,66.380
1085,Guatemala,Wheat and Wheat Products,35.900,6.850
1086,Guatemala,Rice,5.660,7.240
1087,Guatemala,Soybeans,0.320,0.140
1088,Guatemala,Nuts inc. Peanut Butter,2.000,3.540
1089,Uganda,Pork,3.370,11.930
1090,Uganda,Poultry,1.510,1.620
1091,Uganda,Beef,5.150,158.920
1092,Uganda,Lamb & Goat,1.250,43.770
1093,Uganda,Fish,12.500,19.960
1094,Uganda,Eggs,0.970,0.890
1095,Uganda,Milk - inc. cheese,37.270,53.090
1096,Uganda,Wheat and Wheat Products,10.140,1.930
1097,Uganda,Rice,4.640,5.940
1098,Uganda,Soybeans,0.010,0.000
1099,Uganda,Nuts inc. Peanut Butter,3.770,6.670
1100,Nepal,Pork,0.670,2.370
1101,Nepal,Poultry,1.560,1.680
1102,Nepal,Beef,7.890,243.470
1103,Nepal,Lamb & Goat,2.100,73.540
1104,Nepal,Fish,2.170,3.460
1105,Nepal,Eggs,1.420,1.300
1106,Nepal,Milk - inc. cheese,52.100,74.210
1107,Nepal,Wheat and Wheat Products,50.460,9.620
1108,Nepal,Rice,87.750,112.290
1109,Nepal,Soybeans,0.010,0.000
1110,Nepal,Nuts inc. Peanut Butter,2.420,4.280
1111,Iran,Pork,0.000,0.000
1112,Iran,Poultry,25.380,27.260
1113,Iran,Beef,3.580,110.470
1114,Iran,Lamb & Goat,3.690,129.220
1115,Iran,Fish,9.800,15.650
1116,Iran,Eggs,7.700,7.070
1117,Iran,Milk - inc. cheese,46.690,66.510
1118,Iran,Wheat and Wheat Products,153.310,29.240
1119,Iran,Rice,29.950,38.330
1120,Iran,Soybeans,0.000,0.000
1121,Iran,Nuts inc. Peanut Butter,12.160,21.520
1122,Tanzania,Pork,0.320,1.130
1123,Tanzania,Poultry,1.840,1.980
1124,Tanzania,Beef,6.090,187.920
1125,Tanzania,Lamb & Goat,1.280,44.830
1126,Tanzania,Fish,5.500,8.780
1127,Tanzania,Eggs,0.580,0.530
1128,Tanzania,Milk - inc. cheese,40.290,57.390
1129,Tanzania,Wheat and Wheat Products,15.940,3.040
1130,Tanzania,Rice,21.010,26.890
1131,Tanzania,Soybeans,0.040,0.020
1132,Tanzania,Nuts inc. Peanut Butter,5.940,10.510
1133,Senegal,Pork,0.940,3.330
1134,Senegal,Poultry,4.620,4.960
1135,Senegal,Beef,5.850,180.520
1136,Senegal,Lamb & Goat,3.190,111.710
1137,Senegal,Fish,22.940,36.630
1138,Senegal,Eggs,1.630,1.500
1139,Senegal,Milk - inc. cheese,16.860,24.020
1140,Senegal,Wheat and Wheat Products,37.320,7.120
1141,Senegal,Rice,72.290,92.510
1142,Senegal,Soybeans,0.000,0.000
1143,Senegal,Nuts inc. Peanut Butter,4.030,7.130
1144,Peru,Pork,3.850,13.630
1145,Peru,Poultry,11.720,12.590
1146,Peru,Beef,4.690,144.720
1147,Peru,Lamb & Goat,1.000,35.020
1148,Peru,Fish,15.740,25.130
1149,Peru,Eggs,8.760,8.050
1150,Peru,Milk - inc. cheese,62.150,88.530
1151,Peru,Wheat and Wheat Products,56.120,10.700
1152,Peru,Rice,48.920,62.600
1153,Peru,Soybeans,1.590,0.720
1154,Peru,Nuts inc. Peanut Butter,0.650,1.150
1155,Nicaragua,Pork,3.380,11.960
1156,Nicaragua,Poultry,21.310,22.890
1157,Nicaragua,Beef,4.730,145.960
1158,Nicaragua,Lamb & Goat,0.010,0.350
1159,Nicaragua,Fish,3.590,5.730
1160,Nicaragua,Eggs,4.900,4.500
1161,Nicaragua,Milk - inc. cheese,85.160,121.300
1162,Nicaragua,Wheat and Wheat Products,28.170,5.370
1163,Nicaragua,Rice,43.330,55.450
1164,Nicaragua,Soybeans,0.010,0.000
1165,Nicaragua,Nuts inc. Peanut Butter,2.360,4.180
1166,Vietnam,Pork,35.000,123.880
1167,Vietnam,Poultry,12.360,13.280
1168,Vietnam,Beef,7.440,229.580
1169,Vietnam,Lamb & Goat,0.140,4.900
1170,Vietnam,Fish,26.520,42.340
1171,Vietnam,Eggs,3.840,3.530
1172,Vietnam,Milk - inc. cheese,16.360,23.300
1173,Vietnam,Wheat and Wheat Products,10.490,2.000
1174,Vietnam,Rice,144.560,184.990
1175,Vietnam,Soybeans,5.750,2.590
1176,Vietnam,Nuts inc. Peanut Butter,6.280,11.120
1177,Ethiopia,Pork,0.020,0.070
1178,Ethiopia,Poultry,0.660,0.710
1179,Ethiopia,Beef,3.610,111.400
1180,Ethiopia,Lamb & Goat,1.570,54.980
1181,Ethiopia,Fish,0.240,0.380
1182,Ethiopia,Eggs,0.360,0.330
1183,Ethiopia,Milk - inc. cheese,44.140,62.870
1184,Ethiopia,Wheat and Wheat Products,31.260,5.960
1185,Ethiopia,Rice,2.250,2.880
1186,Ethiopia,Soybeans,0.450,0.200
1187,Ethiopia,Nuts inc. Peanut Butter,1.210,2.140
1188,Myanmar,Pork,11.310,40.030
1189,Myanmar,Poultry,21.870,23.490
1190,Myanmar,Beef,4.940,152.440
1191,Myanmar,Lamb & Goat,0.890,31.170
1192,Myanmar,Fish,54.260,86.640
1193,Myanmar,Eggs,6.450,5.920
1194,Myanmar,Milk - inc. cheese,31.480,44.840
1195,Myanmar,Wheat and Wheat Products,6.220,1.190
1196,Myanmar,Rice,132.800,169.940
1197,Myanmar,Soybeans,0.380,0.170
1198,Myanmar,Nuts inc. Peanut Butter,4.500,7.970
1199,Congo,Pork,2.390,8.460
1200,Congo,Poultry,13.020,13.990
1201,Congo,Beef,4.350,134.230
1202,Congo,Lamb & Goat,0.400,14.010
1203,Congo,Fish,26.220,41.860
1204,Congo,Eggs,0.600,0.550
1205,Congo,Milk - inc. cheese,10.690,15.230
1206,Congo,Wheat and Wheat Products,40.070,7.640
1207,Congo,Rice,16.510,21.130
1208,Congo,Soybeans,0.000,0.000
1209,Congo,Nuts inc. Peanut Butter,3.080,5.450
1210,Zambia,Pork,1.660,5.880
1211,Zambia,Poultry,3.290,3.530
1212,Zambia,Beef,4.760,146.880
1213,Zambia,Lamb & Goat,0.680,23.810
1214,Zambia,Fish,6.200,9.900
1215,Zambia,Eggs,3.320,3.050
1216,Zambia,Milk - inc. cheese,9.710,13.830
1217,Zambia,Wheat and Wheat Products,12.100,2.310
1218,Zambia,Rice,3.050,3.900
1219,Zambia,Soybeans,7.300,3.290
1220,Zambia,Nuts inc. Peanut Butter,5.040,8.920
1221,Cameroon,Pork,1.470,5.200
1222,Cameroon,Poultry,3.290,3.530
